Nombre,Link,Pais,Reputacion,N_oro,N_plata,N_bronce
svick,https://stackoverflow.com/users/41071/svick,Prague; Czech Republic,231978,50,384,508
Chuck,https://stackoverflow.com/users/50742/chuck,Not provided by the user,231932,29,302,388
Damien_The_Unbeliever,https://stackoverflow.com/users/15498/damien-the-unbeliever,United Kingdom,231719,24,331,432
Ted Hopp,https://stackoverflow.com/users/535871/ted-hopp,Gaithersburg; MD,230334,48,393,519
Temani Afif,https://stackoverflow.com/users/8620333/temani-afif,Tunisia,230247,22,274,382
Bathsheba,https://stackoverflow.com/users/2380830/bathsheba,Mayfair; London,230238,33,355,474
caf,https://stackoverflow.com/users/134633/caf,Australia,230163,38,316,459
lonesomeday,https://stackoverflow.com/users/417562/lonesomeday,United Kingdom,229913,49,313,315
Óscar López,https://stackoverflow.com/users/201359/%c3%93scar-l%c3%b3pez,Madrid; Spain,229658,37,309,383
rici,https://stackoverflow.com/users/1566221/rici,Peru,229613,27,230,332
eyllanesc,https://stackoverflow.com/users/6622587/eyllanesc,earth,229303,18,145,215
Andomar,https://stackoverflow.com/users/50552/andomar,Netherlands,229207,45,371,396
eerorika,https://stackoverflow.com/users/2079303/eerorika,Dublin; Ireland,228974,12,192,317
thefourtheye,https://stackoverflow.com/users/1903116/thefourtheye,Chennai; India,228892,52,446,489
Sergey Berezovskiy,https://stackoverflow.com/users/470005/sergey-berezovskiy,Dublin; Ireland,228870,41,423,452
user229044,https://stackoverflow.com/users/229044/user229044,Not provided by the user,228409,40,329,336
jAndy,https://stackoverflow.com/users/1386886/jandy,Germany,228181,56,304,357
Blair Conrad,https://stackoverflow.com/users/1199/blair-conrad,Waterloo; Canada,227708,25,132,111
Nkosi,https://stackoverflow.com/users/5233410/nkosi,Trinidad and Tobago,227386,32,403,455
Chris Pratt,https://stackoverflow.com/users/654031/chris-pratt,Houston; Texas; USA,227375,35,377,436
Josh Crozier,https://stackoverflow.com/users/2680216/josh-crozier,United States,227314,54,386,301
jcalz,https://stackoverflow.com/users/2887218/jcalz,Eau Claire; WI; USA,226085,25,305,320
choroba,https://stackoverflow.com/users/1030675/choroba,Czech Republic,224895,24,203,280
John Rotenstein,https://stackoverflow.com/users/174777/john-rotenstein,Sydney; Australia,224680,21,346,424
Justin Cave,https://stackoverflow.com/users/10397/justin-cave,Denver; CO; USA,224524,23,360,376
Leo Dabus,https://stackoverflow.com/users/2303865/leo-dabus,Brazil,224180,58,472,555
Matt Johnson-Pint,https://stackoverflow.com/users/634824/matt-johnson-pint,Woodinville; WA; USA,224036,74,438,559
R. Martinho Fernandes,https://stackoverflow.com/users/46642/r-martinho-fernandes,Berlin; Germany,224030,71,429,504
Sergio Tulentsev,https://stackoverflow.com/users/125816/sergio-tulentsev,Dublin; Ireland,223569,43,367,360
Mark Seemann,https://stackoverflow.com/users/126014/mark-seemann,Copenhagen; Denmark,221887,48,420,721
thirtydot,https://stackoverflow.com/users/405015/thirtydot,United Kingdom,221798,48,389,348
Andrew,https://stackoverflow.com/users/48523/andrew,Portland; OR,221126,192,510,696
Claudiu,https://stackoverflow.com/users/15055/claudiu,Not provided by the user,220770,161,473,676
juanchopanza,https://stackoverflow.com/users/661519/juanchopanza,Vaud; Switzerland,220610,33,396,474
Oleg,https://stackoverflow.com/users/315935/oleg,Wachtberg; Germany,220359,32,398,792
bdonlan,https://stackoverflow.com/users/36723/bdonlan,Seattle,220171,29,264,321
nos,https://stackoverflow.com/users/126769/nos,Norway,220013,56,408,498
gen_Eric,https://stackoverflow.com/users/206403/gen-eric,Rochester; NY; USA,219754,40,300,335
sth,https://stackoverflow.com/users/56338/sth,Germany,217938,53,277,364
ripper234,https://stackoverflow.com/users/11236/ripper234,Israel,217864,269,626,899
LoicTheAztec,https://stackoverflow.com/users/3730754/loictheaztec,Paris; France,217854,22,327,368
C. K. Young,https://stackoverflow.com/users/13/c-k-young,Raleigh; NC; USA,216808,44,383,429
sbi,https://stackoverflow.com/users/140719/sbi,Berlin; Germany,216733,45,254,439
Habib,https://stackoverflow.com/users/961113/habib,Toronto; Canada,216428,27,401,429
Divakar,https://stackoverflow.com/users/3293881/divakar,India,216254,18,250,346
Titian Cernicova-Dragomir,https://stackoverflow.com/users/125734/titian-cernicova-dragomir,Timișoara; Timiș County; Romania,216146,28,378,331
hobbs,https://stackoverflow.com/users/152948/hobbs,New Jersey; United States,215870,18,205,286
John Conde,https://stackoverflow.com/users/250259/john-conde,New Jersey,215722,98,453,494
Carl Norum,https://stackoverflow.com/users/116908/carl-norum,San Jose; California United States,215635,38,422,468
Ry-,https://stackoverflow.com/users/707111/ry,BC; Canada,213968,54,452,463
hpaulj,https://stackoverflow.com/users/901925/hpaulj,Seattle; WA,212948,13,217,329
nosklo,https://stackoverflow.com/users/17160/nosklo,Brazil,212534,55,292,296
CopsOnRoad,https://stackoverflow.com/users/6618622/copsonroad,Locating...,212328,69,612,419
Steve,https://stackoverflow.com/users/1197518/steve,Italy,211905,22,229,286
BMitch,https://stackoverflow.com/users/596285/bmitch,Virginia,211869,40,450,420
Sajeetharan,https://stackoverflow.com/users/1749403/sajeetharan,Colombo; Sri Lanka,211302,60,342,386
Shyju,https://stackoverflow.com/users/40521/shyju,Not provided by the user,210978,102,408,495
Joseph Silber,https://stackoverflow.com/users/825568/joseph-silber,Not provided by the user,210953,59,359,290
Raymond Hettinger,https://stackoverflow.com/users/424499/raymond-hettinger,Texas,210355,62,373,473
dtb,https://stackoverflow.com/users/76217/dtb,Germany,210281,35,397,429
georg,https://stackoverflow.com/users/989121/georg,Not provided by the user,208607,49,299,379
Salvador Dali,https://stackoverflow.com/users/1090562/salvador-dali,California,208379,145,690,749
Chris Johnsen,https://stackoverflow.com/users/193688/chris-johnsen,McKinney; TX,208105,26,204,185
Asperi,https://stackoverflow.com/users/12299030/asperi,Pale blue dot,208094,16,376,598
Dogbert,https://stackoverflow.com/users/320615/dogbert,Dehradun; Uttarakhand; India,207680,40,389,394
Mark Baker,https://stackoverflow.com/users/324584/mark-baker,Amsterdam; Netherlands,207566,31,339,383
Rohit Jain,https://stackoverflow.com/users/1679863/rohit-jain,Bangalore; India,206773,45,405,518
Paul R,https://stackoverflow.com/users/253056/paul-r,Brighton; United Kingdom,205826,35,381,548
R.. GitHub STOP HELPING ICE,https://stackoverflow.com/users/379897/r-github-stop-helping-ice,Not provided by the user,205615,33,366,701
Dan Moulding,https://stackoverflow.com/users/95706/dan-moulding,Massachusetts,205281,22,94,97
tadman,https://stackoverflow.com/users/87189/tadman,Toronto; Canada,205248,23,232,260
Psidom,https://stackoverflow.com/users/4983450/psidom,CA; United States,204383,28,321,343
Lukas Eder,https://stackoverflow.com/users/521799/lukas-eder,St. Gallen; Schweiz,204292,126,673,1458
Pat Notz,https://stackoverflow.com/users/825/pat-notz,Not provided by the user,204160,30,89,92
GMB,https://stackoverflow.com/users/10676716/gmb,France,203923,23,73,122
Kenan Banks,https://stackoverflow.com/users/43089/kenan-banks,NYC,203393,34,152,171
R Sahu,https://stackoverflow.com/users/434551/r-sahu,Albuquerque; NM,202776,14,151,264
Pentium10,https://stackoverflow.com/users/243782/pentium10,Transylvania; Romania,202667,119,419,494
trashgod,https://stackoverflow.com/users/230513/trashgod,United States,202515,29,242,1024
David Rodríguez - dribeas,https://stackoverflow.com/users/36565/david-rodr%c3%adguez-dribeas,New York; United States,202279,21,292,483
Paul Samsotha,https://stackoverflow.com/users/2587435/paul-samsotha,Oakland; CA; United States,202159,35,476,708
eumiro,https://stackoverflow.com/users/449449/eumiro,Not provided by the user,201859,34,297,260
Ben Bolker,https://stackoverflow.com/users/190277/ben-bolker,Hamilton; Canada,201851,25,364,442
user541686,https://stackoverflow.com/users/541686/user541686,Not provided by the user,201592,123,520,872
Ryan Lundy,https://stackoverflow.com/users/5486/ryan-lundy,Haltingen; Weil am Rhein; Germany,201245,37,182,209
j08691,https://stackoverflow.com/users/616443/j08691,New Jersey,201186,31,257,270
Dietrich Epp,https://stackoverflow.com/users/82294/dietrich-epp,New York; NY; United States,200976,36,336,411
epascarello,https://stackoverflow.com/users/14104/epascarello,Maryland,200900,20,189,232
MaxU - stop russian terror,https://stackoverflow.com/users/5741205/maxu-stop-russian-terror,Munich; Germany,200743,36,368,407
Servy,https://stackoverflow.com/users/1159478/servy,Not provided by the user,200638,26,325,439
Howard Hinnant,https://stackoverflow.com/users/576911/howard-hinnant,Waterbury; Vermont; United States,200487,49,437,565
Ryan Cavanaugh,https://stackoverflow.com/users/1704166/ryan-cavanaugh,Seattle; WA,200408,53,271,234
yurzui,https://stackoverflow.com/users/5485167/yurzui,Not provided by the user,200314,31,422,395
David,https://stackoverflow.com/users/328193/david,Boston; MA,200138,35,195,271
Alok Save,https://stackoverflow.com/users/452307/alok-save,Mumbai; Maharashtra; India,199924,51,424,530
Jesper,https://stackoverflow.com/users/135589/jesper,Netherlands,199745,45,318,347
Mat,https://stackoverflow.com/users/635608/mat,France,199542,40,388,404
juergen d,https://stackoverflow.com/users/575376/juergen-d,Germany,199254,36,286,350
William Pursell,https://stackoverflow.com/users/140750/william-pursell,Denver; CO; USA,199172,48,267,297
Val,https://stackoverflow.com/users/4604579/val,Fully; Switzerland,198837,13,347,348
dbush,https://stackoverflow.com/users/1687119/dbush,New Jersey,198406,21,209,262
Andrew Clark,https://stackoverflow.com/users/505154/andrew-clark,San Jose; CA,198180,33,270,299
Matt Hamilton,https://stackoverflow.com/users/615/matt-hamilton,Albury; Australia,197944,61,384,318
Cristian,https://stackoverflow.com/users/244296/cristian,Plantasia,197887,62,356,262
Jarod42,https://stackoverflow.com/users/2684539/jarod42,France,197272,13,178,288
Marcin,https://stackoverflow.com/users/248823/marcin,Not provided by the user,196684,12,183,243
Norman Ramsey,https://stackoverflow.com/users/41661/norman-ramsey,Malden; MA,196547,59,359,531
siride,https://stackoverflow.com/users/394487/siride,Not provided by the user,195762,4,39,60
Thierry Templier,https://stackoverflow.com/users/1873365/thierry-templier,France,195628,40,390,354
Estus Flask,https://stackoverflow.com/users/3731501/estus-flask,Not provided by the user,195559,67,403,539
James_D,https://stackoverflow.com/users/2189127/james-d,Not provided by the user,195375,16,280,314
Elliott Frisch,https://stackoverflow.com/users/2970947/elliott-frisch,Atlanta; GA,195182,20,156,245
ephemient,https://stackoverflow.com/users/20713/ephemient,Not provided by the user,195037,38,279,389
Sweeper,https://stackoverflow.com/users/5133585/sweeper,HK,194870,20,179,291
John Millikin,https://stackoverflow.com/users/3560/john-millikin,Not provided by the user,194730,39,211,224
Rabbid76,https://stackoverflow.com/users/5577765/rabbid76,Austria,194479,25,120,164
robertklep,https://stackoverflow.com/users/893780/robertklep,Dieren; Netherlands,194380,33,384,368
OscarRyz,https://stackoverflow.com/users/20654/oscarryz,Not provided by the user,194133,110,381,565
Marko Topolnik,https://stackoverflow.com/users/1103872/marko-topolnik,Zagreb; Croatia,192722,27,308,424
Jukka K. Korpela,https://stackoverflow.com/users/1084437/jukka-k-korpela,Finland,191772,36,259,378
Employed Russian,https://stackoverflow.com/users/50617/employed-russian,Not provided by the user,191334,31,287,351
Freewind,https://stackoverflow.com/users/342235/freewind,Not provided by the user,190426,155,423,694
dfsq,https://stackoverflow.com/users/949476/dfsq,Amsterdam; Netherlands,190330,25,234,254
Keith Hill,https://stackoverflow.com/users/153982/keith-hill,Colorado; United States,189984,40,343,365
Laurenz Albe,https://stackoverflow.com/users/6464308/laurenz-albe,Vienna; Austria,189894,17,175,226
Roko C. Buljan,https://stackoverflow.com/users/383904/roko-c-buljan,Croatia,189296,37,300,304
hakre,https://stackoverflow.com/users/367456/hakre,Europe,189026,51,425,819
Ansgar Wiechers,https://stackoverflow.com/users/1630171/ansgar-wiechers,Not provided by the user,188758,23,239,312
David Webb,https://stackoverflow.com/users/3171/david-webb,Oxford; United Kingdom,188609,57,309,298
Ivan Stoev,https://stackoverflow.com/users/5202563/ivan-stoev,Bulgaria,188323,14,286,317
Jason Baker,https://stackoverflow.com/users/2147/jason-baker,San Francisco; CA,188221,134,371,510
A5C1D2H2I1M1N2O1R2T1,https://stackoverflow.com/users/1270695/a5c1d2h2i1m1n2o1r2t1,Santa Barbara; CA; USA,188211,28,400,476
Louis Wasserman,https://stackoverflow.com/users/869736/louis-wasserman,Mountain View; CA,188021,25,333,405
Gabriele Petrioli,https://stackoverflow.com/users/128165/gabriele-petrioli,Athens; Greece,187665,34,260,311
Cheeso,https://stackoverflow.com/users/48082/cheeso,Seattle; WA,187441,99,468,712
Michael Myers,https://stackoverflow.com/users/13531/michael-myers,United States,186813,45,291,292
Edward Tanguay,https://stackoverflow.com/users/4639/edward-tanguay,Berlin; Germany,186559,310,704,1037
MrFlick,https://stackoverflow.com/users/2372064/mrflick,Cambridge; MA,186556,16,267,284
Explosion Pills,https://stackoverflow.com/users/454533/explosion-pills,Gainesville; FL,186359,51,322,397
Kent,https://stackoverflow.com/users/164835/kent,Hamburg; Germany,186171,31,227,292
Amadan,https://stackoverflow.com/users/240443/amadan,Not provided by the user,186136,23,235,292
AnthonyWJones,https://stackoverflow.com/users/17516/anthonywjones,Birmingham; United Kingdom,185492,35,232,305
Janusz,https://stackoverflow.com/users/114066/janusz,Berlin; Deutschland,185253,113,300,369
