Nombre,Link,Pais,Reputacion,N_oro,N_plata,N_bronce
GManNickG,https://stackoverflow.com/users/87234/gmannickg,Not provided by the user,488286,51,486,539
Tim Biegeleisen,https://stackoverflow.com/users/1863229/tim-biegeleisen,Singapore,487308,25,266,342
Oded,https://stackoverflow.com/users/1583/oded,London; United Kingdom,484770,98,875,1003
NPE,https://stackoverflow.com/users/367273/npe,London; United Kingdom,477538,105,938,1006
chepner,https://stackoverflow.com/users/1126841/chepner,Massachusetts,475399,69,500,649
Paolo Bergantino,https://stackoverflow.com/users/16417/paolo-bergantino,Kennewick; WA,475327,79,518,436
alex,https://stackoverflow.com/users/31671/alex,London; United Kingdom,472098,198,871,978
Cascabel,https://stackoverflow.com/users/119963/cascabel,USA,467508,70,369,314
Jerry Coffin,https://stackoverflow.com/users/179910/jerry-coffin,San Diego; CA; United States,466191,79,617,1097
Suragch,https://stackoverflow.com/users/3681880/suragch,Not provided by the user,461196,297,1335,1366
Mysticial,https://stackoverflow.com/users/922184/mysticial,San Francisco Bay Area,460320,45,333,329
Kerrek SB,https://stackoverflow.com/users/596781/kerrek-sb,West of house,456739,91,866,1072
alecxe,https://stackoverflow.com/users/771848/alecxe,New York; United States,454234,116,1060,1178
Matthew Rankin,https://stackoverflow.com/users/95592/matthew-rankin,Independence; Missouri United States,446948,38,123,163
Tim Schmelter,https://stackoverflow.com/users/284240/tim-schmelter,Code desert,441904,70,674,922
codaddict,https://stackoverflow.com/users/227665/codaddict,Bangalore; India,439304,80,490,526
Pekka,https://stackoverflow.com/users/187606/pekka,Tabayesco; Lanzarote; Canary Islands,437340,140,968,1083
Nicol Bolas,https://stackoverflow.com/users/734069/nicol-bolas,Not provided by the user,434512,63,748,953
Mark Longair,https://stackoverflow.com/users/223092/mark-longair,London; United Kingdom,432771,71,408,324
Martin Smith,https://stackoverflow.com/users/73226/martin-smith,Rugby; United Kingdom,428613,87,723,823
torek,https://stackoverflow.com/users/1256452/torek,Bellingham; WA; USA,424498,52,589,729
Stephen Cleary,https://stackoverflow.com/users/263693/stephen-cleary,Kingsley; MI,424123,72,657,791
Willem Van Onsem,https://stackoverflow.com/users/67579/willem-van-onsem,Ypres; Belgium,423992,29,399,520
Jon,https://stackoverflow.com/users/50079/jon,Berlin,422269,78,729,800
mu is too short,https://stackoverflow.com/users/479863/mu-is-too-short,Gibsons; BC ; Canada,421110,69,826,789
gbn,https://stackoverflow.com/users/27535/gbn,Switzerland,416513,81,581,669
mmx,https://stackoverflow.com/users/33708/mmx,Not provided by the user,409445,90,845,785
aioobe,https://stackoverflow.com/users/276052/aioobe,Stockholm; Sweden,407392,111,802,823
Quassnoi,https://stackoverflow.com/users/55159/quassnoi,Moscow; Russia,406313,90,609,610
Rob,https://stackoverflow.com/users/1271826/rob,Los Angeles; CA; USA,404621,71,765,1013
Bohemian,https://stackoverflow.com/users/256196/bohemian,Melbourne; Australia,402596,89,568,707
Pointy,https://stackoverflow.com/users/182668/pointy,Austin; TX,398235,59,579,607
skaffman,https://stackoverflow.com/users/21234/skaffman,UK,395371,96,814,768
Bill the Lizard,https://stackoverflow.com/users/1288/bill-the-lizard,Charlotte; NC,393730,207,559,874
Some programmer dude,https://stackoverflow.com/users/440558/some-programmer-dude,Malmö; Sweden,392254,34,393,601
Pascal MARTIN,https://stackoverflow.com/users/138475/pascal-martin,Lyon; France,391118,79,652,659
mipadi,https://stackoverflow.com/users/28804/mipadi,San Francisco; CA,390718,88,518,477
