numero,empresa,ciudades,habilidades
24,Authority Partners,Ataşehir;Sarajevo;Irvine,c#;.net;.net-core;c#;.net;.net-core;azure;azure-functions;angular;selenium;sql-server;azure-cosmosdb;azure-devops;xamarin;reactjs;html;css;amazon-web-services;ansible;terraform;event-based-programming;azure-aks;scrum;cypress
25,Intuit,Plano;Washington;Tucson,java;kotlin;scala;java;kotlin;scala;play;spark;react;aws;k8s;spring;javascript;js;rds;graphdb;graphql;tomcat;nosql;aurora;dynamodb;kafka;redis;kubernetes;docker;c++;c#;iks;swift;springboot;mongodb;native;obj-c;jenkins;argo
26,Udemy,Mountain View;Austin;Denver,python;hadoop;bigdata;python;hadoop;bigdata;apache-kafka;kubernetes;reactjs;node.js;graphql;javascript;django;kotlin;spring-boot;kotlin-coroutines;objective-c;redis;html;css;bootstrap-4
27,Southwest Research Institute,Warner Robins;San Antonio;Boulder,ros;computer-vision;robotics;ros;computer-vision;robotics
28,Novo Nordisk A/S,Denmark;Bengaluru;Plainsboro Township,javascript;html;css;javascript;html;css;sql;python;c#;jquery;vue.js;node.js;.net-core;mysql;mongodb;amazon-web-services;azure;azure-devops;ios;android;cypress;angular;cicd;rest
29,Nord Security,Poland;Kaunas;Amsterdam,php;go;mysql;php;go;mysql;apache-kafka;symfony;echo;cassandra;docker;slim;kubernetes;rabbitmq;redis;javascript;typescript;redux;reactjs;node.js;next.js;c++;rust;swift;cocoapods;kotlin;dagger;kotlin-coroutines;c#;.net;python;minio;apache-spark;jupyter
30,Baker Hughes,Bucharest;Aberdeen;London,.net;corestandard;scrum;.net;corestandard;scrum;agile;visual;studio;c#;c++;python;typescript;reactjs;opengl;3d;wpf;azure;devops;git;mongodb;docker;nexus;nuget;aws;java;angular;spring-boot;splunk;mcafee;crowdstrike;mitre-attck
31,Delivery Hero SE,Berlin,python;html;css;python;html;css;reactjs;angularjs;java;django;tornado;swift;kotlin;amazon-web-services;php;ios;android;javascript;golang;kubernetes;docker;terraform;cucumber;ruby-on-rails;selenium;node.js;react-native;salesforce;salesforce-lightning;flutter
32,American Express.,Brighton;Sunrise;London,java;python;hadoop;java;python;hadoop;spark;ai;machine-learning;ios;android;salesforce;golang;cloud;kotlin;kubernetes;kafka;react;rest;restful;api;agile;graphql;grpc;postgres;couchbase;cassandra;elasticsearch;redis;opentracing;jaeger;prometheus;grafana;node.js;swift;chef;mysql;sql;javascript;html;css;mongodb;jenkins;c#;.net;ibm;zos;reactjs;swiftui;hadoop-yarn
33,Picnic,Düsseldorf;Amsterdam,java;python;angularjs;java;python;angularjs;react-native;mongodb;spring-boot;typescript;rest;snowflake-sql;rabbitmq;java-17;spring;stripe-payments;kotlin;dagger-2;rxjs;reactjs;swift;docker;etl;kops;travis-ci;postgresql;snowplow;kubernetes;amazon-web-services;terraform;spring-mvc
34,"Hyland Software, Inc.",Chicago;Atlanta;Auburn,java;c#;angular;java;c#;angular;javascript;typescript;spring;quarkus;kubernetes;microk8s;amazon-web-services;terraform;kubernetes-helm;terraform-provider-aws;tdd;microservices;clean-architecture;coding-style;hexagonal-tiles;cloud;uml
35,Audible,Newark;Cambridge;Seattle,java;git;jquery;java;git;jquery;angular.js;requires.js;html5;css;css3;javascript;perl;python;ant;maven;jrebel;http;live;streaming;hds;smoothstreaming;amazon;web;services;ruby;cucumber;dojo;mason;jsp;junit;testng;selenium;sql;hadoop;ios;objective-c;android;underscore;js;sass;amd;node;ipad;spring;r;rstudio
36,Thermo Fisher Scientific Careers,Hyderabad;Budapest;Austin,javascript;sql;python;javascript;sql;python;artificial-intelligence;azure;analytics;robotics;encoding;jquery;amazon-web-services;sap;computer-science;data-science
37,eBay,San Jose;Kleinmachnow;Amsterdam,javascript;node.js;css3;javascript;node.js;css3;html5;java;python;cc++;hadoop;cassandra;hbase;objective-c;c;cocoa;backbone.js;marko;jquery;jenkins;riak
38,GSoft,Montreal,typescript;react-hooks;docker;typescript;react-hooks;docker;kubernetes;azure;c#;.net-core;mongodb;domain-driven-design;event-sourcing;cqrs;solid-principles;redux;css-in-js;sass;framer-motion;azure-devops;git;powershell;node.js;yarnpkg;jestjs;babeljs;webpack;.net;teamcity;wpf;asp.net
39,Pluralsight,Draper;Dublin;Bengaluru,.net;c#;c++;.net;c#;c++;golang;java;javascript;kotlin;nginx;node;python;r;reactjs;ruby;scala;sql;swift;typescript;vue.js;asp.net;django;express;flask;node.js;on;rails;spark;tensorflow;junit-jupiter;jest;amazon-web-services
40,ING Deutschland,Frankfurt am Main;Nürnberg;Berlin,java;java-ee;ios;java;java-ee;ios;android;git;maven;spring;python;oracle;sdk;scala;r;hadoop;microservices;c#;bigdata;angular;fitnesse;sql;wicket;hibernate;jenkins;cloud;swift;spring-boot;scrum;kanban;openshift;kubernetes;azure;elasticsearch;elastic-stack;prometheus;ansible;docker;unix;linux;apache-kafka;tomcat;jboss;javascript;html;elk;mysql;continuous-integration;continuous-delivery;etl;business-intelligence;automated-tests;plsql;eclipse;database;apache-spark;pandas;apache-flink;numpy;cobol;jakarta-ee
41,Cloudflight,München;Perg;Linz,kotlin;java;c++;kotlin;java;c++;c#;javascript;typescript;c;lua;python;bash;php;go;spring-boot;swagger;angular;reactjs;vue.js;mariadb;postgresql;mysql;rabbitmq;amazon-web-services;azure;google-cloud-platform;teamcity;docker;kubernetes;openshift;grafana
42,Caterpillar Inc.,Chicago;Peoria;Bengaluru,java;javascript;python;java;javascript;python;scala;sql;spring;spring-boot;reactjs;angular;akka;apache-kafka;apigee;rest;microservices;hadoop;apache-spark;bigdata;r;amazon-web-services;amazon-s3;amazon-ec2;aws-lambda;docker;kubernetes;amazon-emr;amazon-kinesis;amazon-dynamodb;amazon-redshift;snowflake-cloud-data-plat;amazon-aurora;amazon-rds;oracle;mysql;amazon-athena;aws-glue;elasticsearch;elk;salesforce;azure-devops;aem;adobe;e-commerce;aws-iot;machine-learning;computer-vision;natural-language-processi;nlp;iot;tableau-api;alteryx
43,Stack Overflow,London;New York,c#;asp.net-mvc;redis;c#;asp.net-mvc;redis;sql-server;elasticsearch;javascript;jquery
44,Bupa,Bristol;London;Leeds,azure;c#;.net;azure;c#;.net;sql;apigee
45,Justworks,New York,amazon-s3;circleci;clockwork;amazon-s3;circleci;clockwork;docker;gearman;heroku;kafka;kibana;pagerduty;pgp;puppet;ruby-on-rails;react;redash;rollbar;rubocop;ruby;shell;ssh;sidekiq;tableau;php;javascript;typescript;react-native;amazon-web-services;python;java;node.js;algorithm;google-cloud-firestore;rest
46,mBank S.A.,Warsaw;Łódź,c#;swift;java;c#;swift;java;javascript;react;.net-core;net;android;angular;ferryt;powerbi;oracle;apache;apache-kafka;confluence;spark;mssql;hadoop;informatica-powercenter;ansible;splunk;jira;teamcity;testlink;jenkins;kubernetes;vmware;nsx-t;microsoft;cisco;sd-wan;f5;azure;amazon-web-services
